,ID,Address,District,geoData
57753,PVN_hd_SAO_2945_9,"город Москва, Ленинградское шоссе, дом 9, корпус 1",Войковский район,"{'coordinates': [37.4985897165778, 55.8166404996395], 'type': 'Point'}"
24001,PVN_hd_UVAO_2_9620_4,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Люблино, Таганрогская улица, дом 7",район Люблино,"{'coordinates': [37.7552447294439, 55.6805114901429], 'type': 'Point'}"
63399,PVN_hd_SAO_2998_1,"город Москва, улица Адмирала Макарова, дом 19, корпус 1",Войковский район,"{'coordinates': [37.4928679805751, 55.8308560711975], 'type': 'Point'}"
52624,PVN_hd_UAO_3022_4,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагорный, Чонгарский бульвар, дом 1, корпус 4",Нагорный район,"{'coordinates': [37.6157010380161, 55.6519879434919], 'type': 'Point'}"
19374,PVN_hd_SZAO_5662_4,"город Москва, улица Фомичёвой, дом 4",район Северное Тушино,"{'coordinates': [37.4464123990597, 55.8590530139818], 'type': 'Point'}"
102629,PVN_hd_UVAO_505_57,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южнопортовый, Шарикоподшипниковская улица, дом 36/18",Южнопортовый район,"{'coordinates': [37.6753280981496, 55.7149312315617], 'type': 'Point'}"
10814,PVN_hd_SVAO_4805_1,"город Москва, Холмогорская улица, дом 6, корпус 2",Ярославский район,"{'coordinates': [37.7182588891761, 55.8828548260741], 'type': 'Point'}"
9949,PVN_hd_UZAO_8625_2,"город Москва, Скобелевская улица, дом 23, корпус 4",район Южное Бутово,"{'coordinates': [37.5594438511644, 55.5482640280264], 'type': 'Point'}"
5789,PVN_hd_SVAO_3445_2,"город Москва, Мурановская улица, дом 7Б",район Бибирево,"{'coordinates': [37.5951521758053, 55.8919701942521], 'type': 'Point'}"
103136,PVN_hd_UVAO_4413_3,"город Москва, Рязанский проспект, дом 95, корпус 3",район Выхино-Жулебино,"{'coordinates': [37.8084312608438, 55.7163584347411], 'type': 'Point'}"
4928,PVN_hd_UZAO_7695_3,"город Москва, Севастопольский проспект, дом 13, корпус 1",район Котловка,"{'coordinates': [37.6017503477252, 55.6837760213667], 'type': 'Point'}"
14493,PVN_hd_UZAO_7283_3,"город Москва, Фруктовая улица, дом 11",район Зюзино,"{'coordinates': [37.6071673985249, 55.6615123197227], 'type': 'Point'}"
8601,PVN_hd_SZAO_5959_2,"город Москва, проспект Маршала Жукова, дом 16, корпус 1",район Хорошёво-Мнёвники,"{'coordinates': [37.4908062199125, 55.7761460019863], 'type': 'Point'}"
18599,PVN_hd_UVAO_2_10381_4,"город Москва, Саратовская улица, дом 5, корпус 2",район Текстильщики,"{'coordinates': [37.7340806501913, 55.7155274027025], 'type': 'Point'}"
5271,PVN_hd_SVAO_3756_2,"город Москва, улица Яблочкова, дом 28, корпус 1",Бутырский район,"{'coordinates': [37.5802088138803, 55.8247029831209], 'type': 'Point'}"
25114,PVN_hd_SAO_2_7599_3,"город Москва, улица Ивана Сусанина, дом 2, корпус 1",район Западное Дегунино,"{'coordinates': [37.5286126245375, 55.8652208179856], 'type': 'Point'}"
19913,PVN_hd_SAO_2_7140_4,"город Москва, Дубнинская улица, дом 3",Бескудниковский район,"{'coordinates': [37.5638485371146, 55.8557690228106], 'type': 'Point'}"
85497,PVN_hd_VAO_833_5,"город Москва, Уссурийская улица, дом 5, корпус 1",район Гольяново,"{'coordinates': [37.814553628314, 55.8244359643398], 'type': 'Point'}"
72141,PVN_hd_SZAO_339_2,"город Москва, улица Исаковского, дом 18",район Строгино,"{'coordinates': [37.4099947368329, 55.8115529583915], 'type': 'Point'}"
51594,PVN_hd_UAO_7068_2,"город Москва, Загорьевская улица, дом 29",район Бирюлёво Восточное,"{'coordinates': [37.6967203529039, 55.5834652371826], 'type': 'Point'}"
44409,PVN_hd_TSAO_5387_4,"город Москва, Делегатская улица, дом 14/2",Тверской район,"{'coordinates': [37.6137669866164, 55.7751155460321], 'type': 'Point'}"
93783,PVN_hd_SAO_4168_1,"город Москва, Локомотивный проезд, дом 5",Тимирязевский район,"{'coordinates': [37.5770187401475, 55.8392228519487], 'type': 'Point'}"
89565,PVN_hd_SAO_3998_1,"город Москва, Астрадамская улица, дом 4",Тимирязевский район,"{'coordinates': [37.5658034048681, 55.8119936253329], 'type': 'Point'}"
75074,PVN_hd_SZAO_193_5,"город Москва, бульвар Яна Райниса, дом 39",район Южное Тушино,"{'coordinates': [37.4123777159174, 55.8498360732921], 'type': 'Point'}"
10162,PVN_hd_SVAO_4524_2,"город Москва, проезд Шокальского, дом 24",район Северное Медведково,"{'coordinates': [37.6484659154267, 55.8798921737095], 'type': 'Point'}"
9291,PVN_hd_SVAO_3705_1,"город Москва, улица Руставели, дом 6А, корпус 3",Бутырский район,"{'coordinates': [37.589771878263, 55.8118159243303], 'type': 'Point'}"
48739,PVN_hd_ZAO_9312_4,"город Москва, 6-я улица Лазенки, дом 36",район Ново-Переделкино,"{'coordinates': [37.3570959246633, 55.6582644447536], 'type': 'Point'}"
76104,PVN_hd_SZAO_5609_1,"город Москва, Химкинский бульвар, дом 14, корпус 2",район Северное Тушино,"{'coordinates': [37.4456284474752, 55.8528271613712], 'type': 'Point'}"
66901,PVN_hd_ZELAO_635_5,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Силино, город Зеленоград, корпус 1004",район Силино,"{'coordinates': [37.1801577528401, 55.9856568361566], 'type': 'Point'}"
51375,PVN_hd_UAO_2741_3,"город Москва, Шипиловский проезд, дом 71",район Орехово-Борисово Южное,"{'coordinates': [37.7184000601951, 55.5967879419313], 'type': 'Point'}"
33427,PVN_hd_SVAO_1891_4,"город Москва, Отрадная улица, дом 5",район Отрадное,"{'coordinates': [37.6071747340073, 55.8584088775475], 'type': 'Point'}"
53300,PVN_hd_ZAO_214_5,"город Москва, Кунцевская улица, дом 8, корпус 1",район Кунцево,"{'coordinates': [37.4143759109298, 55.7315082763291], 'type': 'Point'}"
29377,PVN_hd_SAO_2_7011_2,"город Москва, Скаковая улица, дом 18",район Беговой,"{'coordinates': [37.5673338302874, 55.7812616441554], 'type': 'Point'}"
2134,PVN_hd_SVAO_3217_1,"город Москва, Стандартная улица, дом 17, корпус 1",Алтуфьевский район,"{'coordinates': [37.5779165286163, 55.8824366852711], 'type': 'Point'}"
64316,PVN_hd_UAO_1612_3,"город Москва, Ореховый проезд, дом 31",район Зябликово,"{'coordinates': [37.7319344675147, 55.6197144996365], 'type': 'Point'}"
3353,PVN_hd_UZAO_6947_1,"город Москва, улица Строителей, дом 4, корпус 4",Гагаринский район,"{'coordinates': [37.5388939048129, 55.6867110169768], 'type': 'Point'}"
95030,PVN_hd_VAO_1295_4,"город Москва, 3-я Парковая улица, дом 4",район Измайлово,"{'coordinates': [37.7846966613912, 55.7890085617192], 'type': 'Point'}"
85894,PVN_hd_VAO_0847_3,"город Москва, Хабаровская улица, дом 5",район Гольяново,"{'coordinates': [37.8271326669137, 55.8162700511834], 'type': 'Point'}"
53287,PVN_hd_ZAO_8735_1,"город Москва, Молодогвардейская улица, дом 36, корпус 6",район Кунцево,"{'coordinates': [37.4162826020957, 55.7372750218293], 'type': 'Point'}"
65934,PVN_hd_UAO_1178_1,"город Москва, Варшавское шоссе, дом 92",Нагорный район,"{'coordinates': [37.6184036772506, 55.6478272067378], 'type': 'Point'}"
17359,PVN_hd_SAO_2_7302_1,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Восточное Дегунино, Дубнинская улица, дом 22, корпус 5",район Восточное Дегунино,"{'coordinates': [37.561976107527, 55.8722569709155], 'type': 'Point'}"
15811,PVN_hd_UVAO_9964_4,"город Москва, улица Вострухина, дом 7",Рязанский район,"{'coordinates': [37.7969407366158, 55.7208481299045], 'type': 'Point'}"
54608,PVN_hd_UAO_2165_1,"город Москва, Криворожская улица, дом 29, корпус 4",Нагорный район,"{'coordinates': [37.6072440033879, 55.6707071611908], 'type': 'Point'}"
92531,PVN_hd_VAO_0661_3,"город Москва, Алтайская улица, дом 9, корпус 1",район Гольяново,"{'coordinates': [37.8148946425614, 55.820648430086], 'type': 'Point'}"
85316,PVN_hd_VAO_2104_1,"город Москва, 3-я Парковая улица, дом 46, корпус 3",район Северное Измайлово,"{'coordinates': [37.7841721801308, 55.805465744869], 'type': 'Point'}"
77424,PVN_hd_NAO_471_3,"город Москва, поселение Внуковское, улица Авиаконструктора Петлякова, дом 31",поселение Внуковское,"{'coordinates': [37.3130456700932, 55.6267752360489], 'type': 'Point'}"
7483,PVN_hd_UZAO_8209_2,"город Москва, Перекопская улица, дом 17, корпус 4",район Черёмушки,"{'coordinates': [37.5715289391047, 55.6594064885469], 'type': 'Point'}"
27332,PVN_hd_UVAO_9552_4,"город Москва, Ставропольская улица, дом 22",район Люблино,"{'coordinates': [37.7537623235475, 55.6809565865516], 'type': 'Point'}"
60877,PVN_hd_SVAO_1574_1,"город Москва, Ботаническая улица, дом 7",район Марфино,"{'coordinates': [37.601896632111, 55.8240470985739], 'type': 'Point'}"
13084,PVN_hd_UZAO_8935_3,"город Москва, Голубинская улица, дом 25, корпус 1",район Ясенево,"{'coordinates': [37.5342830939287, 55.5975030169495], 'type': 'Point'}"
23008,PVN_hd_UVAO_2_9200_2,"город Москва, 1-я Курьяновская улица, дом 57",район Печатники,"{'coordinates': [37.6986032261323, 55.6510119563689], 'type': 'Point'}"
66639,PVN_hd_UAO_2777_3,"город Москва, улица Борисовские Пруды, дом 6, корпус 1",район Братеево,"{'coordinates': [37.7349274966763, 55.6326064629157], 'type': 'Point'}"
14436,PVN_hd_UZAO_7318_2,"город Москва, Черноморский бульвар, дом 21, корпус 2",район Зюзино,"{'coordinates': [37.5965915797266, 55.6452891525529], 'type': 'Point'}"
68215,PVN_hd_UAO_2508_4,"город Москва, улица Подольских Курсантов, дом 2, корпус 1",район Чертаново Южное,"{'coordinates': [37.610472478736, 55.6080587739201], 'type': 'Point'}"
83702,PVN_hd_NAO_224_3,"город Москва, поселение Сосенское, посёлок Коммунарка, микрорайон ""Эдальго"", дом 1",поселение Сосенское,"{'coordinates': [37.4857813202416, 55.5726364656756], 'type': 'Point'}"
24661,PVN_hd_UVAO_2_9577_2,"город Москва, Ставропольская улица, дом 6А",район Люблино,"{'coordinates': [37.7417141721104, 55.6795852092662], 'type': 'Point'}"
84591,PVN_hd_VAO_889_5,"город Москва, Чусовская улица, дом 11, корпус 1",район Гольяново,"{'coordinates': [37.8115465233233, 55.8146333755743], 'type': 'Point'}"
27341,PVN_hd_UVAO_9151_4,"город Москва, улица Юных Ленинцев, дом 47, корпус 4",район Кузьминки,"{'coordinates': [37.756653818829, 55.7032945966513], 'type': 'Point'}"
27028,PVN_hd_SAO_2_7221_4,"город Москва, Ленинградское шоссе, дом 20, корпус 1",Войковский район,"{'coordinates': [37.4939294115688, 55.8263109201584], 'type': 'Point'}"
76162,PVN_hd_TSAO_3254_1,"город Москва, Доброслободская улица, дом 16, корпус 1",Басманный район,"{'coordinates': [37.6744469576241, 55.7653463231937], 'type': 'Point'}"
88589,PVN_hd_VAO_1121_7,"город Москва, улица Красный Казанец, дом 1, корпус 1",район Вешняки,"{'coordinates': [37.8028028493584, 55.7225491452984], 'type': 'Point'}"
64277,PVN_hd_UAO_2161_4,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагорный, Криворожская улица, дом 25",Нагорный район,"{'coordinates': [37.6099593777526, 55.6688267901539], 'type': 'Point'}"
92278,PVN_hd_VAO_1550_4,"город Москва, 2-я Прядильная улица, дом 8",район Измайлово,"{'coordinates': [37.7794528649662, 55.7955621649041], 'type': 'Point'}"
76411,PVN_hd_VAO_2_6639_1,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Соколиная Гора, Зверинецкая улица, дом 12",район Соколиная Гора,"{'coordinates': [37.7278823721558, 55.7836259543352], 'type': 'Point'}"
101806,PVN_hd_VAO_508_1,"город Москва, Суздальская улица, дом 10, корпус 4",район Новокосино,"{'coordinates': [37.8501670695618, 55.7363916280568], 'type': 'Point'}"
19613,PVN_hd_UVAO_2_8825_1,"город Москва, Волгоградский проспект, дом 124",район Кузьминки,"{'coordinates': [37.7816097713898, 55.7023194931338], 'type': 'Point'}"
61967,PVN_hd_UZAO_1101_1,"город Москва, улица Академика Виноградова, дом 4, корпус 1",район Тёплый Стан,"{'coordinates': [37.4865710387927, 55.6324528415143], 'type': 'Point'}"
21101,PVN_hd_SAO_2_8186_6,"город Москва, Клинская улица, дом 3",район Ховрино,"{'coordinates': [37.5041155730055, 55.8655095117336], 'type': 'Point'}"
15910,PVN_hd_VAO_2_5950_4,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Перово, 1-я Владимирская улица, дом 39/12",район Перово,"{'coordinates': [37.7805258739801, 55.7495389107805], 'type': 'Point'}"
55596,PVN_hd_UZAO_847_3,"город Москва, улица Ремизова, дом 9",район Котловка,"{'coordinates': [37.6016006027013, 55.676395099922], 'type': 'Point'}"
75752,PVN_hd_ZELAO_1572_1,"город Москва, город Зеленоград, корпус 606",район Савёлки,"{'coordinates': [37.2268306630798, 55.9922217209614], 'type': 'Point'}"
82903,PVN_hd_ZAO_10469_7,"город Москва, Филёвский бульвар, дом 1",район Филёвский Парк,"{'coordinates': [37.4945058174496, 55.7643253616122], 'type': 'Point'}"
102790,PVN_hd_UVAO_4562_11,"город Москва, Красноказарменная улица, дом 9",район Лефортово,"{'coordinates': [37.6976949123748, 55.7581994253841], 'type': 'Point'}"
6372,PVN_hd_SZAO_6532_3,"город Москва, Лодочная улица, дом 31, строение 5",район Южное Тушино,"{'coordinates': [37.4609492995573, 55.8398170345862], 'type': 'Point'}"
42779,PVN_hd_ZAO_9357_1,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ново-Переделкино, Лукинская улица, дом 6",район Ново-Переделкино,"{'coordinates': [37.3433741135794, 55.6510606306692], 'type': 'Point'}"
29928,PVN_hd_VAO_2_5679_4,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Новогиреево, Кусковская улица, дом 23, корпус 2",район Новогиреево,"{'coordinates': [37.7813895000257, 55.7406783892], 'type': 'Point'}"
44270,PVN_hd_UAO_2395_21,"город Москва, Сумской проезд, дом 12, корпус 3",район Чертаново Северное,"{'coordinates': [37.6054395902066, 55.636593807402], 'type': 'Point'}"
98632,PVN_hd_UZAO_1213_4,"город Москва, улица Рокотова, дом 8, корпус 2",район Ясенево,"{'coordinates': [37.5490468836072, 55.6110836785801], 'type': 'Point'}"
102210,PVN_hd_UVAO_4500_1,"город Москва, Боровая улица, дом 10, корпус 2",район Лефортово,"{'coordinates': [37.7140575439462, 55.7709187479303], 'type': 'Point'}"
45418,PVN_hd_TSAO_4379_4,"город Москва, улица Щепкина, дом 60/2, строение 1",Мещанский район,"{'coordinates': [37.6301613822702, 55.7856374886354], 'type': 'Point'}"
100589,PVN_hd_UVAO_4645_1,"город Москва, Ухтомская улица, дом 19",район Лефортово,"{'coordinates': [37.7152141146731, 55.7680013397534], 'type': 'Point'}"
36257,PVN_hd_SVAO_1606_3,"город Москва, улица Конёнкова, дом 11В",район Бибирево,"{'coordinates': [37.603381396244004, 55.8911821121662], 'type': 'Point'}"
82125,PVN_hd_TAO_452_1,"город Москва, поселение Киевский, рабочий посёлок Киевский, дом 22А",поселение Киевский,"{'coordinates': [36.8643061313464, 55.4304419342669], 'type': 'Point'}"
97289,PVN_hd_ZAO_8_288_1,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кунцево, Ельнинская улица, дом 20, корпус 1",район Кунцево,"{'coordinates': [37.4228425807736, 55.7388063891503], 'type': 'Point'}"
16936,PVN_hd_VAO_2_5595_5,"город Москва, Открытое шоссе, дом 24, корпус 42",район Метрогородок,"{'coordinates': [37.7575670558908, 55.821515892302], 'type': 'Point'}"
39025,PVN_hd_UAO_1469_1,"город Москва, Булатниковский проезд, дом 14, корпус 1",район Бирюлёво Западное,"{'coordinates': [37.6552670467334, 55.5835345487901], 'type': 'Point'}"
