,ID,Address,District,geoData
65547,PVN_hd_UAO_1325_6,"город Москва, Загорьевский проезд, дом 11",район Бирюлёво Восточное,"{'coordinates': [37.6787735975105, 55.5773462870088], 'type': 'Point'}"
64994,PVN_hd_UAO_1444_2,"город Москва, Липецкая улица, дом 11, корпус 1",район Бирюлёво Восточное,"{'coordinates': [37.6860312111193, 55.5833644520338], 'type': 'Point'}"
65465,PVN_hd_UAO_7500_1,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Донской, Ленинский проспект, дом 37А",Донской район,"{'coordinates': [37.5868382928878, 55.708519713961], 'type': 'Point'}"
57790,PVN_hd_ZAO_8937_2,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Можайский, Беловежская улица, дом 17, корпус 2",Можайский район,"{'coordinates': [37.3953860428176, 55.7141147652034], 'type': 'Point'}"
4303,PVN_hd_SZAO_6038_3,"город Москва, улица Берзарина, дом 1",район Хорошёво-Мнёвники,"{'coordinates': [37.496946492384, 55.7877955038386], 'type': 'Point'}"
61896,PVN_hd_ZAO_9284_1,"город Москва, улица Академика Павлова, дом 42, корпус 1",район Кунцево,"{'coordinates': [37.4092150109361, 55.744537983608], 'type': 'Point'}"
17557,PVN_hd_UVAO_2_10427_3,"город Москва, 7-я улица Текстильщиков, дом 7, корпус 4",район Текстильщики,"{'coordinates': [37.7495393406092, 55.6961986596484], 'type': 'Point'}"
83043,PVN_hd_TAO_281_6,"город Москва, город Троицк, Академическая площадь, дом 3",поселение Троицк,"{'coordinates': [37.3037537692035, 55.4841863858585], 'type': 'Point'}"
5489,PVN_hd_SZAO_5979_5,"город Москва, проспект Маршала Жукова, дом 22, корпус 3",район Хорошёво-Мнёвники,"{'coordinates': [37.4839768183497, 55.776734386725], 'type': 'Point'}"
62320,PVN_hd_ZAO_9562_6,"город Москва, Осенняя улица, дом 4, корпус 1",район Крылатское,"{'coordinates': [37.400350931775, 55.7580905225615], 'type': 'Point'}"
80843,PVN_hd_UAO_7046_5,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Орехово-Борисово Северное, Шипиловский проезд, дом 49/1",район Орехово-Борисово Северное,"{'coordinates': [37.6992891081942, 55.608813322457], 'type': 'Point'}"
8358,PVN_hd_SVAO_3406_1,"город Москва, Алтуфьевское шоссе, дом 88",район Бибирево,"{'coordinates': [37.5890277593286, 55.8991760748587], 'type': 'Point'}"
54959,PVN_hd_TAO_358_2,"город Москва, город Троицк, улица Текстильщиков, дом 8",поселение Троицк,"{'coordinates': [37.3053200275439, 55.4912937105301], 'type': 'Point'}"
9211,PVN_hd_SZAO_5989_53,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошево-Мневники, улица Генерала Глаголева, дом 19",район Хорошёво-Мнёвники,"{'coordinates': [37.4625438674846, 55.7846772706344], 'type': 'Point'}"
53246,PVN_hd_SZAO_5813_1,"город Москва, улица Твардовского, дом 6, корпус 2",район Строгино,"{'coordinates': [37.3904991986181, 55.7956955624274], 'type': 'Point'}"
50299,PVN_hd_UZAO_7602_6,"город Москва, улица Островитянова, дом 31",район Коньково,"{'coordinates': [37.5226184050402, 55.6342265627804], 'type': 'Point'}"
77186,PVN_hd_UZAO_7360_3,"город Москва, Профсоюзная улица, дом 85, корпус 1",район Коньково,"{'coordinates': [37.5288752592927, 55.6439318734022], 'type': 'Point'}"
94776,PVN_hd_VAO_1465_1,"город Москва, Большая Черкизовская улица, дом 30, корпус 2",район Преображенское,"{'coordinates': [37.7411488595751, 55.7983505260398], 'type': 'Point'}"
52985,PVN_hd_UAO_1702_2,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Москворечье-Сабурово, Каширское шоссе, дом 28, корпус 1",район Москворечье-Сабурово,"{'coordinates': [37.6494477713986, 55.6535283904133], 'type': 'Point'}"
22237,PVN_hd_VAO_2_5983_5,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Перово, 2-я Владимирская улица, дом 3",район Перово,"{'coordinates': [37.7791643925834, 55.7620288089147], 'type': 'Point'}"
95209,PVN_hd_VAO_1801_2,"город Москва, Открытое шоссе, дом 2, корпус 5",район Преображенское,"{'coordinates': [37.7298673745393, 55.8075428293907], 'type': 'Point'}"
85900,PVN_hd_SAO_3969_4,"город Москва, Коптевская улица, дом 22",район Коптево,"{'coordinates': [37.5197400434834, 55.8315385014437], 'type': 'Point'}"
82036,PVN_hd_UZAO_6865_12,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гагаринский, Ленинский проспект, дом 52",Гагаринский район,"{'coordinates': [37.5630366816087, 55.7002469972795], 'type': 'Point'}"
57792,PVN_hd_UVAO_6032_1,"город Москва, улица Симоновский Вал, дом 13, корпус 2",Южнопортовый район,"{'coordinates': [37.6644956436484, 55.7231379474153], 'type': 'Point'}"
29280,PVN_hd_UVAO_2_8533_2,"город Москва, улица Авиаконструктора Миля, дом 24",район Выхино-Жулебино,"{'coordinates': [37.8576596026066, 55.6785238068159], 'type': 'Point'}"
59898,PVN_hd_ZAO_240_1,"город Москва, Молодогвардейская улица, дом 26, корпус 1",район Кунцево,"{'coordinates': [37.4192578749498, 55.734170267494], 'type': 'Point'}"
24619,PVN_hd_UVAO_2_10076_3,"город Москва, улица Михайлова, дом 20, корпус 1",Рязанский район,"{'coordinates': [37.7679686185601, 55.7267493003888], 'type': 'Point'}"
10679,PVN_hd_SZAO_5282_7,"город Москва, Вишнёвая улица, дом 8/16",район Покровское-Стрешнево,"{'coordinates': [37.447433344662, 55.8305560967548], 'type': 'Point'}"
15437,PVN_hd_SAO_8042_7,"город Москва, Новопесчаная улица, дом 23, корпус 4",район Сокол,"{'coordinates': [37.5114731552957, 55.793131634691], 'type': 'Point'}"
62901,PVN_hd_ZAO_564_2,"город Москва, улица Багрицкого, дом 12",Можайский район,"{'coordinates': [37.436272912146, 55.722079756189], 'type': 'Point'}"
31097,PVN_hd_SAO_2_7591_1,"город Москва, Талдомская улица, дом 3",район Западное Дегунино,"{'coordinates': [37.5138991345867, 55.8704505607832], 'type': 'Point'}"
51002,PVN_hd_TSAO_10896_1,"город Москва, Чистопрудный бульвар, дом 13, строение 1",Басманный район,"{'coordinates': [37.644615823789, 55.7623428125235], 'type': 'Point'}"
42553,PVN_hd_UAO_1246_5,"город Москва, Медынская улица, дом 12, корпус 2",район Бирюлёво Западное,"{'coordinates': [37.6441235184487, 55.5853331794806], 'type': 'Point'}"
97130,PVN_hd_UAO_8_552_14,"город Москва, Михневская улица, дом 8",район Бирюлёво Восточное,"{'coordinates': [37.6707370715327, 55.578917091894], 'type': 'Point'}"
34424,PVN_hd_SVAO_1755_3,"город Москва, Алтуфьевское шоссе, дом 18",район Отрадное,"{'coordinates': [37.5863217600096, 55.8584201578028], 'type': 'Point'}"
37208,PVN_hd_TSAO_5859_2,"город Москва, Кооперативная улица, дом 3, корпус 6",район Хамовники,"{'coordinates': [37.569885810158, 55.7251721041757], 'type': 'Point'}"
29167,PVN_hd_SAO_2_7292_8,"город Москва, Дубнинская улица, дом 12, корпус 3",район Восточное Дегунино,"{'coordinates': [37.5710894908656, 55.8648663659917], 'type': 'Point'}"
48672,PVN_hd_ZAO_10371_2,"город Москва, Кастанаевская улица, дом 4",район Филёвский Парк,"{'coordinates': [37.4984654707066, 55.7410824066872], 'type': 'Point'}"
58051,PVN_hd_SVAO_4025_1,"город Москва, Челюскинская улица, дом 8",Лосиноостровский район,"{'coordinates': [37.7051436496291, 55.8816100264535], 'type': 'Point'}"
28440,PVN_hd_UVAO_2_9369_1,"город Москва, Армавирская улица, дом 9",район Люблино,"{'coordinates': [37.7518738197882, 55.6741803874242], 'type': 'Point'}"
55931,PVN_hd_VAO_2_6694_3,"город Москва, Мироновская улица, дом 40",район Соколиная Гора,"{'coordinates': [37.7341240157046, 55.7910400926346], 'type': 'Point'}"
29589,PVN_hd_SAO_2_7701_2,"город Москва, Большая Академическая улица, дом 77, корпус 1",район Коптево,"{'coordinates': [37.5556378697733, 55.8434694861013], 'type': 'Point'}"
75817,PVN_hd_VAO_2_6613_5,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Соколиная Гора, Буракова улица, дом 13",район Соколиная Гора,"{'coordinates': [37.7300039580548, 55.7627086267209], 'type': 'Point'}"
53658,PVN_hd_ZELAO_1460_3,"город Москва, город Зеленоград, корпус 301А",район Савёлки,"{'coordinates': [37.210787134311, 56.0003371970659], 'type': 'Point'}"
33819,PVN_hd_SVAO_2134_1,"город Москва, Берингов проезд, дом 6, корпус 1",район Свиблово,"{'coordinates': [37.6638410468493, 55.8543868917777], 'type': 'Point'}"
53532,PVN_hd_ZELAO_658_8,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Силино, город Зеленоград, корпус 1131",район Силино,"{'coordinates': [37.1693368661885, 55.9935782030638], 'type': 'Point'}"
29045,PVN_hd_VAO_2_5160_3,"город Москва, 15-я Парковая улица, дом 29, корпус 1",район Восточное Измайлово,"{'coordinates': [37.8184955451177, 55.7995556561422], 'type': 'Point'}"
76946,PVN_hd_SVAO_3378_1,"город Москва, улица Менжинского, дом 23, корпус 2",Бабушкинский район,"{'coordinates': [37.6594519280986, 55.8691443431098], 'type': 'Point'}"
25580,PVN_hd_UVAO_2_8544_1,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Выхино-Жулебино, Привольная улица, дом 13, корпус 1",район Выхино-Жулебино,"{'coordinates': [37.8385783924761, 55.7000527309015], 'type': 'Point'}"
66265,PVN_hd_SAO_3018_4,"город Москва, 2-й Новоподмосковный переулок, дом 8",Войковский район,"{'coordinates': [37.5093863494624, 55.8190360503113], 'type': 'Point'}"
37587,PVN_hd_TSAO_4113_2,"город Москва, Уланский переулок, дом 21, строение 2",Красносельский район,"{'coordinates': [37.6402944479557, 55.7701290230784], 'type': 'Point'}"
79382,PVN_hd_UAO_8453_1,"город Москва, Чертановская улица, дом 41, корпус 3",район Чертаново Центральное,"{'coordinates': [37.5958695996399, 55.6088014264329], 'type': 'Point'}"
36304,PVN_hd_SVAO_2271_1,"город Москва, Заревый проезд, дом 7",район Северное Медведково,"{'coordinates': [37.6560291307984, 55.8844017653964], 'type': 'Point'}"
38745,PVN_hd_TSAO_5836_1,"город Москва, Комсомольский проспект, дом 27, строение 5",район Хамовники,"{'coordinates': [37.5810416863906, 55.7257095271434], 'type': 'Point'}"
39524,PVN_hd_SZAO_426_4_4,"город Москва, набережная Новикова-Прибоя, дом 6, корпус 3",район Хорошёво-Мнёвники,"{'coordinates': [37.4500815351969, 55.7824910075444], 'type': 'Point'}"
103209,PVN_hd_VAO_2121_3,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Перово, Перовская улица, дом 33, корпус 1",район Перово,"{'coordinates': [37.7757414337607, 55.7473988799126], 'type': 'Point'}"
46799,PVN_hd_ZAO_9362_4,"город Москва, Лукинская улица, дом 11",район Ново-Переделкино,"{'coordinates': [37.3360856249817, 55.6426366943955], 'type': 'Point'}"
40100,PVN_hd_SVAO_1984_2,"город Москва, проезд Якушкина, дом 2",район Отрадное,"{'coordinates': [37.6100448164603, 55.858399171294], 'type': 'Point'}"
43605,PVN_hd_TSAO_5950_2,"город Москва, улица Плющиха, дом 33",район Хамовники,"{'coordinates': [37.5775900510344, 55.7415882683641], 'type': 'Point'}"
73818,PVN_hd_SVAO_3275_1,"город Москва, Олонецкий проезд, дом 18, корпус 1",Бабушкинский район,"{'coordinates': [37.6632193418117, 55.876821052035], 'type': 'Point'}"
1250,PVN_hd_UVAO_4795_2,"город Москва, Зеленодольская улица, дом 28, корпус 4",район Кузьминки,"{'coordinates': [37.7707129734314, 55.7120682062755], 'type': 'Point'}"
62316,PVN_hd_TSAO_3267_2,"город Москва, улица Жуковского, дом 4, строение 1",Басманный район,"{'coordinates': [37.6451751058186, 55.7634583483234], 'type': 'Point'}"
23029,PVN_hd_VAO_2_5955_1,"город Москва, 1-я Владимирская улица, дом 6",район Перово,"{'coordinates': [37.7732490671378, 55.7595674744945], 'type': 'Point'}"
11318,PVN_hd_SZAO_5010_4,"город Москва, Дубравная улица, дом 36",район Митино,"{'coordinates': [37.3567116839855, 55.8456618419038], 'type': 'Point'}"
84580,PVN_hd_SAO_3998_3,"город Москва, Астрадамская улица, дом 4",Тимирязевский район,"{'coordinates': [37.5658034048681, 55.8119936253329], 'type': 'Point'}"
64482,PVN_hd_UAO_1940_8,"город Москва, проспект Андропова, дом 17, корпус 1",район Нагатинский Затон,"{'coordinates': [37.6670809160203, 55.6826944019845], 'type': 'Point'}"
36546,PVN_hd_SZAO_362_5,"город Москва, улица Кулакова, дом 7",район Строгино,"{'coordinates': [37.4001525238201, 55.8133098356191], 'type': 'Point'}"
54210,PVN_hd_NAO_98_1,"город Москва, город Московский, 1-й микрорайон, дом 43, корпус 1",поселение Московский,"{'coordinates': [37.3414415978111, 55.6020124839511], 'type': 'Point'}"
65678,PVN_hd_TSAO_5466_2,"город Москва, 1-я Миусская улица, дом 22, строение 4",Тверской район,"{'coordinates': [37.594433102754, 55.7805099727946], 'type': 'Point'}"
39416,PVN_hd_SVAO_1584_1,"город Москва, Ботаническая улица, дом 17",район Марфино,"{'coordinates': [37.6012131344029, 55.8273464583867], 'type': 'Point'}"
51578,PVN_hd_SAO_2911_3,"город Москва, улица Космонавта Волкова, дом 15, корпус 3",Войковский район,"{'coordinates': [37.5157583148678, 55.8168894064058], 'type': 'Point'}"
63578,PVN_hd_VAO_2_6738_2,"город Москва, проспект Будённого, дом 27",район Соколиная Гора,"{'coordinates': [37.7297243650908, 55.7691547799675], 'type': 'Point'}"
48224,PVN_hd_UAO_7175_2,"город Москва, улица Шухова, дом 17, корпус 3",Даниловский район,"{'coordinates': [37.6103394711082, 55.715790189209], 'type': 'Point'}"
55397,PVN_hd_SAO_2498_8,"город Москва, Ленинградский проспект, дом 74, корпус 1",район Аэропорт,"{'coordinates': [37.5169892195791, 55.8051706709283], 'type': 'Point'}"
88796,PVN_hd_SAO_2757_1,"город Москва, улица 800-летия Москвы, дом 16, корпус 1",Бескудниковский район,"{'coordinates': [37.5516152874627, 55.8774263202781], 'type': 'Point'}"
89509,PVN_hd_VAO_22_4,"город Москва, Просторная улица, дом 9",район Богородское,"{'coordinates': [37.7181180751966, 55.8062956628165], 'type': 'Point'}"
20336,PVN_hd_SAO_2_6912_1,"город Москва, Красноармейская улица, дом 2, корпус 1",район Аэропорт,"{'coordinates': [37.5504141546207, 55.7968334825768], 'type': 'Point'}"
33874,PVN_hd_UZAO_1140_8,"город Москва, улица Тёплый Стан, дом 15, корпус 3",район Тёплый Стан,"{'coordinates': [37.4905799582051, 55.6201820663742], 'type': 'Point'}"
64617,PVN_hd_TSAO_4589_1,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Большой Кондратьевский переулок, дом 14, строение 1",Пресненский район,"{'coordinates': [37.5806590531741, 55.7741107196272], 'type': 'Point'}"
85742,PVN_hd_VAO_750_5,"город Москва, Байкальская улица, дом 41, корпус 3",район Гольяново,"{'coordinates': [37.8178910954782, 55.8189170199703], 'type': 'Point'}"
33044,PVN_hd_SVAO_2007_3,"город Москва, Будайский проезд, дом 4",район Ростокино,"{'coordinates': [37.6674093624193, 55.8352743507601], 'type': 'Point'}"
29878,PVN_hd_SAO_7234_12,"город Москва, Ленинградское шоссе, дом 8, корпус 2",Войковский район,"{'coordinates': [37.5003670885019, 55.8171181584948], 'type': 'Point'}"
78688,PVN_hd_ZAO_661_2,"город Москва, улица Гришина, дом 21, корпус 3",Можайский район,"{'coordinates': [37.4137050552872, 55.7239158272545], 'type': 'Point'}"
84105,PVN_hd_NAO_424_2,"город Москва, поселение Воскресенское, Чечёрский проезд, дом 124, корпус 2",поселение Воскресенское,"{'coordinates': [37.5110577091129, 55.5251168336038], 'type': 'Point'}"
2436,PVN_hd_UZAO_7418_2,"город Москва, улица Академика Волгина, дом 13",район Коньково,"{'coordinates': [37.5180634774668, 55.6506416455007], 'type': 'Point'}"
65647,PVN_hd_ZELAO_2032_1,"город Москва, город Зеленоград, корпус 707",район Савёлки,"{'coordinates': [37.2347747490497, 55.9851312118441], 'type': 'Point'}"
59324,PVN_hd_ZAO_382_5,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Очаково-Матвеевское, Большая Очаковская улица, дом 27",район Очаково-Матвеевское,"{'coordinates': [37.4520390967707, 55.6794594100872], 'type': 'Point'}"
81993,PVN_hd_UAO_1363_5,"город Москва, Бирюлёвская улица, дом 5, корпус 2",район Бирюлёво Восточное,"{'coordinates': [37.6673885384106, 55.5998759170729], 'type': 'Point'}"
83832,PVN_hd_NAO_199_1,"город Москва, поселение Сосенское, посёлок Коммунарка, дом 16",поселение Сосенское,"{'coordinates': [37.4766759212883, 55.5683720834354], 'type': 'Point'}"
17138,PVN_hd_VAO_2_6419_3,"город Москва, 11-я Парковая улица, дом 54, корпус 3",район Северное Измайлово,"{'coordinates': [37.8070395266368, 55.809339752578], 'type': 'Point'}"
1009,PVN_hd_VAO_1790_1,"город Москва, улица Металлургов, дом 48, корпус 4",район Перово,"{'coordinates': [37.8027966169811, 55.7596384697216], 'type': 'Point'}"
85576,PVN_hd_VAO_564_5,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Восточное Измайлово, 16-я Парковая улица, дом 23",район Восточное Измайлово,"{'coordinates': [37.825928779869, 55.8006383336236], 'type': 'Point'}"
71290,PVN_hd_VAO_1410_3,"город Москва, Новогиреевская улица, дом 16, корпус 2",район Перово,"{'coordinates': [37.7922562879206, 55.7603381515882], 'type': 'Point'}"
68450,PVN_hd_NAO_570_2,"город Москва, город Щербинка, улица Барышевская Роща, дом 24",поселение Щербинка,"{'coordinates': [37.5380580248939, 55.5044716540973], 'type': 'Point'}"
23549,PVN_hd_VAO_2_5348_6,"город Москва, Хабаровская улица, дом 14, корпус 2",район Гольяново,"{'coordinates': [37.8285560368638, 55.8231338809722], 'type': 'Point'}"
70340,PVN_hd_UZAO_6808_1,"город Москва, улица Кедрова, дом 6, корпус 3",Академический район,"{'coordinates': [37.5645733441942, 55.6850767427024], 'type': 'Point'}"
66230,PVN_hd_UAO_1750_1,"город Москва, улица Москворечье, дом 45, корпус 2",район Москворечье-Сабурово,"{'coordinates': [37.6657696629751, 55.6454202435973], 'type': 'Point'}"
16401,PVN_hd_SAO_2_7981_2,"город Москва, Писцовая улица, дом 16, корпус 2",Савёловский район,"{'coordinates': [37.5720253435949, 55.7980397534806], 'type': 'Point'}"
8508,PVN_hd_UZAO_8069_5,"город Москва, Профсоюзная улица, дом 136, корпус 4",район Тёплый Стан,"{'coordinates': [37.5077756046748, 55.629912689266], 'type': 'Point'}"
28755,PVN_hd_VAO_2_6103_2,"город Москва, Новогиреевская улица, дом 9",район Перово,"{'coordinates': [37.7943722405816, 55.7603232962878], 'type': 'Point'}"
92409,PVN_hd_VAO_1932_3,"город Москва, Щёлковский проезд, дом 11, корпус 2",район Северное Измайлово,"{'coordinates': [37.7766471761274, 55.8064301654726], 'type': 'Point'}"
54746,PVN_hd_SZAO_262_4,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Тушино, улица Фабрициуса, дом 9",район Южное Тушино,"{'coordinates': [37.4414000186067, 55.843021348231], 'type': 'Point'}"
64109,PVN_hd_SZAO_125_4,"город Москва, проезд Донелайтиса, дом 30",район Южное Тушино,"{'coordinates': [37.4204168483922, 55.8461279940302], 'type': 'Point'}"
14804,PVN_hd_SVAO_4816_4,"город Москва, Ярославское шоссе, дом 109, корпус 2",Ярославский район,"{'coordinates': [37.707010246042, 55.8705835821998], 'type': 'Point'}"
89826,PVN_hd_VAO_18_2,"город Москва, 2-я Прогонная улица, дом 9",район Богородское,"{'coordinates': [37.7089904251962, 55.8114319750271], 'type': 'Point'}"
62780,PVN_hd_UAO_440_2,"город Москва, Ясеневая улица, дом 21, корпус 2",район Орехово-Борисово Южное,"{'coordinates': [37.7311749658862, 55.6043471882155], 'type': 'Point'}"
50313,PVN_hd_UVAO_2_10320_3,"город Москва, 1-й Грайвороновский проезд, дом 9",район Текстильщики,"{'coordinates': [37.7241209152475, 55.721920544783], 'type': 'Point'}"
263,PVN_hd_UVAO_4596_3,"город Москва, 2-я улица Синичкина, дом 7",район Лефортово,"{'coordinates': [37.7118015673004, 55.7631308099803], 'type': 'Point'}"
92189,PVN_hd_VAO_22_2,"город Москва, Просторная улица, дом 9",район Богородское,"{'coordinates': [37.7181180751966, 55.8062956628165], 'type': 'Point'}"
38417,PVN_hd_UZAO_620_3,"город Москва, Большая Черёмушкинская улица, дом 2, корпус 4",Академический район,"{'coordinates': [37.5983564184238, 55.6912076493974], 'type': 'Point'}"
54192,PVN_hd_UAO_2892_12,"город Москва, Ореховый бульвар, дом 7, корпус 1",район Орехово-Борисово Северное,"{'coordinates': [37.7060566594119, 55.6097601617331], 'type': 'Point'}"
23018,PVN_hd_UVAO_559_6,"город Москва, Шоссейная улица, дом 58, корпус 1",район Печатники,"{'coordinates': [37.7215146676043, 55.6760039548328], 'type': 'Point'}"
49617,PVN_hd_UAO_7322_1,"город Москва, улица Трофимова, дом 4, корпус 2",Даниловский район,"{'coordinates': [37.662511875172, 55.7017209311496], 'type': 'Point'}"
101439,PVN_hd_UVAO_9711_2,"город Москва, Мячковский бульвар, дом 20, корпус 3",район Марьино,"{'coordinates': [37.7587066341808, 55.6483959215904], 'type': 'Point'}"
69792,PVN_hd_TSAO_5569_3,"город Москва, Садовая-Самотёчная улица, дом 11",Тверской район,"{'coordinates': [37.617048501659, 55.7740446025188], 'type': 'Point'}"
9283,PVN_hd_SZAO_6244_3,"город Москва, Авиационная улица, дом 63",район Щукино,"{'coordinates': [37.4556335211878, 55.8093493884571], 'type': 'Point'}"
46256,PVN_hd_ZAO_10267_1,"город Москва, 2-я Филёвская улица, дом 10",район Филёвский Парк,"{'coordinates': [37.4926602351543, 55.7378003651001], 'type': 'Point'}"
102013,PVN_hd_UVAO_4463_1,"город Москва, Волгоградский проспект, дом 123",район Кузьминки,"{'coordinates': [37.7685017093932, 55.7061263775594], 'type': 'Point'}"
8406,PVN_hd_UZAO_6662_2,"город Москва, Новочерёмушкинская улица, дом 23",Академический район,"{'coordinates': [37.5799697994494, 55.6816702785248], 'type': 'Point'}"
3146,PVN_hd_SVAO_4806_7,"город Москва, Холмогорская улица, дом 7",Ярославский район,"{'coordinates': [37.7166481268837, 55.8810178101421], 'type': 'Point'}"
87642,PVN_hd_TSAO_6041_57,"город Москва, 2-й переулок Тружеников, дом 4/19, строение 2",район Хамовники,"{'coordinates': [37.5730226131026, 55.7362540148298], 'type': 'Point'}"
95810,PVN_hd_SAO_6133_3,"город Москва, Базовская улица, дом 15, корпус 8",район Западное Дегунино,"{'coordinates': [37.5078778070952, 55.8780811002262], 'type': 'Point'}"
40826,PVN_hd_SVAO_2398_1,"город Москва, проезд Шокальского, дом 59, корпус 1",район Северное Медведково,"{'coordinates': [37.6636766934846, 55.884048227513], 'type': 'Point'}"
37812,PVN_hd_SVAO_1449_1,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бутырский, улица Добролюбова, дом 29/16",Бутырский район,"{'coordinates': [37.5898866709353, 55.8207142484179], 'type': 'Point'}"
2798,PVN_hd_SZAO_5615_1,"город Москва, улица Героев Панфиловцев, дом 9, корпус 3",район Северное Тушино,"{'coordinates': [37.4330996587926, 55.8542976476742], 'type': 'Point'}"
38126,PVN_hd_UZAO_1192_25,"город Москва, Литовский бульвар, дом 3, корпус 2",район Ясенево,"{'coordinates': [37.5344434898682, 55.6165170757832], 'type': 'Point'}"
48842,PVN_hd_ZAO_9406_3,"город Москва, улица Скульптора Мухиной, дом 7, корпус 2",район Ново-Переделкино,"{'coordinates': [37.344067546082, 55.6387232576415], 'type': 'Point'}"
78845,PVN_hd_VAO_2_6601_1,"город Москва, Борисовская улица, дом 21",район Соколиная Гора,"{'coordinates': [37.7355409354707, 55.7895808133134], 'type': 'Point'}"
82213,PVN_hd_TSAO_5292_2,"город Москва, Стройковская улица, дом 12, корпус 1",Таганский район,"{'coordinates': [37.6726979760074, 55.7336242766293], 'type': 'Point'}"
84509,PVN_hd_VAO_1216_1,"город Москва, Измайловский проезд, дом 16, корпус 2",район Измайлово,"{'coordinates': [37.7698584763315, 55.7971479589404], 'type': 'Point'}"
18438,PVN_hd_UVAO_2_9155_1,"город Москва, улица Юных Ленинцев, дом 49, корпус 3",район Кузьминки,"{'coordinates': [37.7586702641215, 55.7022739556312], 'type': 'Point'}"
86665,PVN_hd_VAO_1114_4,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Челябинская улица, дом 21",район Ивановское,"{'coordinates': [37.8315349287153, 55.7785805879861], 'type': 'Point'}"
54208,PVN_hd_SZAO_330_7,"город Москва, улица Исаковского, дом 4, корпус 2",район Строгино,"{'coordinates': [37.3992909183442, 55.8175377530528], 'type': 'Point'}"
31088,PVN_hd_VAO_6858_9,"город Москва, Колодезная улица, дом 7, корпус 2",район Сокольники,"{'coordinates': [37.6974545210809, 55.7964764451939], 'type': 'Point'}"
100263,PVN_hd_UVAO_9767_5,"город Москва, Перервинский бульвар, дом 22, корпус 1",район Марьино,"{'coordinates': [37.7727445345944, 55.6537366109765], 'type': 'Point'}"
7471,PVN_hd_SZAO_5505_1,"город Москва, Туристская улица, дом 25, корпус 1",район Северное Тушино,"{'coordinates': [37.4203719983725, 55.8549248338551], 'type': 'Point'}"
8903,PVN_hd_SVAO_4561_1,"город Москва, улица Грекова, дом 18, корпус 3",район Северное Медведково,"{'coordinates': [37.6657412627421, 55.8906311247066], 'type': 'Point'}"
72486,PVN_hd_ZAO_9941_1,"город Москва, улица 1812 Года, дом 10, корпус 1",район Дорогомилово,"{'coordinates': [37.5210972930363, 55.7411921326648], 'type': 'Point'}"
94464,PVN_hd_VAO_944_2,"город Москва, Большой Купавенский проезд, дом 8",район Ивановское,"{'coordinates': [37.8206811236617, 55.7766783232343], 'type': 'Point'}"
36986,PVN_hd_TSAO_4160_2,"город Москва, улица Гиляровского, дом 56",Мещанский район,"{'coordinates': [37.6331337834872, 55.7867481227655], 'type': 'Point'}"
27617,PVN_hd_UVAO_2_9025_1,"город Москва, Окская улица, дом 30, корпус 2",район Кузьминки,"{'coordinates': [37.7682579101444, 55.7144518614213], 'type': 'Point'}"
74376,PVN_hd_TSAO_5707_3,"город Москва, Тихвинский переулок, дом 10-12, корпус 5",Тверской район,"{'coordinates': [37.5990454734533, 55.7867575985727], 'type': 'Point'}"
98073,PVN_hd_UAO_8_512_2,"город Москва, улица Борисовские Пруды, дом 23, корпус 1",район Москворечье-Сабурово,"{'coordinates': [37.7241864297564, 55.6358794324978], 'type': 'Point'}"
97302,PVN_hd_SVAO_7_216_2,"город Москва, Ярославское шоссе, дом 8, корпус 2",Ярославский район,"{'coordinates': [37.6856318298838, 55.8530398679044], 'type': 'Point'}"
73940,PVN_hd_UAO_2467_10,"город Москва, Дорожная улица, дом 24, корпус 2",район Чертаново Южное,"{'coordinates': [37.6157791370387, 55.5986243107298], 'type': 'Point'}"
70707,PVN_hd_SZAO_223_7,"город Москва, Сходненская улица, дом 37",район Южное Тушино,"{'coordinates': [37.4389715958136, 55.8494808258371], 'type': 'Point'}"
74984,PVN_hd_ZELAO_2052_2,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Старое Крюково, город Зеленоград, корпус 812",район Старое Крюково,"{'coordinates': [37.187931550736, 55.9774967421479], 'type': 'Point'}"
100653,PVN_hd_UVAO_4426_5,"город Москва, Самаркандский бульвар, дом 24, корпус 2",район Выхино-Жулебино,"{'coordinates': [37.8170170910573, 55.7011396847625], 'type': 'Point'}"
38422,PVN_hd_UZAO_755_2,"город Москва, Нагорная улица, дом 24, корпус 2",район Котловка,"{'coordinates': [37.6011744958823, 55.6782319086372], 'type': 'Point'}"
